,ID,Nodes,cables,circuits,frequency,power,voltage,wires,source,barrier,disused:power,end_date,generator:source,generator:type,landuse,name,name:da,name:fr,name:ru,note:de,operator,plant:output:electricity,ref,start_date,wikidata,wikipedia,line,removed:power,removed:voltage,location,substation,layer,was:voltage,highway,oneway,building,fixme,power:demolished,maxspeed,surface,removed:line,from,to,abandoned:power,note,website,demolished:power,description,capacity,fee,power_supply,sanitary_dump_station,tourism,water_point,artwork_type,area,wheelchair,caravans,dog,sanitary_dump_station:chemical_toilet,seamark:cable_submarine:category,seamark:type,plant:output:hot_water,plant:source,disused:substation,abandoned:cables,abandoned:voltage,abandoned,building:levels,height,material,year_of_construction,razed:power,man_made,street_cabinet,plant:method,ref:EU:ENTSOE_EIC,lines,service,seamark:cable_area:category,seamark:restricted_area:restriction,generator:method,transformer,abandoned:substation,description:de,historic,object:postcode,object:street,object:village,owner,roof:shape,construction:power,object:town,old_operator,fuel:biogas,fuel,seamark:source,seamark:cable_overhead:category,seamark:cable_overhead:clearance_height_safe,name:signed,tents,official_name,opening_date,seamark:name,seamark:production_area:category,seamark:production_area:condition,construction:substation
14,27141585,"['559108145', '559108139', '1244815017', '1244815204', '1102756053', '1102756080', '1102756109', '1244815028', '559108161', '1244815109', '559108172', '1244815036', '1244815106', '2177751188', '2177751189', '574777297', '1074151620', '1074152033', '1074151528', '1074151628', '1074151859', '1074151371', '1074151779', '574777300', '1074151480', '1074151385', '297785439', '1074151681', '1074151653', '1074151334', '1074151997', '1074151682', '574777310', '1074151899', '1074151890', '1074151573', '1074151730', '1074151425', '574790297', '1074152058', '1074151661', '1074151349', '574790304', '574790301']",6,2, ,line,30000,single, , , , , , , , , , , , ,Netz Lübeck, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,27181620,"['860690608', '860690605', '298252063', '298252184', '298252065', '298253378', '298252557', '4492886373']",3, ,50,line,110000,single, , , , , , , , , , , , , , ,124, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,27311510,"['303641506', '303641452']",6,2,50,line,220000,single, , , , , , , , , , , , , , ,207A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,27748305,"['304695974', '304695978', '285671535', '304695982', '304695984', '304695974']", , ,50,substation, , , , , , , , , , , , , , , , , , , , , , , ,indoor,distribution, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,28963626,"['318466667', '318465174', '773594228', '318465176', '318465303', '773594226', '318468180', '773594211', '773594202', '351936394', '773594180', '318469945', '364436256', '773594144', '773594140', '364436259', '773594146', '773594147', '358539865', '773594131', '773594133', '773594134', '773594135', '773594129', '364433780', '773594124', '773594127', '358539866', '773594230', '773594231', '358539867']",3, ,50,line,110000,single, , , , , , , , , , , , ,EON_Netz, ,150C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,29342274,"['9094809780', '9094809778', '1765883316']",3, ,50,line,110000,single, , , , , , , , , , , , , , , , , , ,bay, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,29421837,"['849578072', '849578074', '279301770', '1962476782', '1962476796', '849578072']", , , ,substation, , , , , , , , , ,Umspannwerk, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,29994851,"['198012736', '430709575', '417287631', '330119702']", , , ,minor_line,6000, , , , , , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,30472310,"['336211362', '336211363', '336211364', '336211365', '336211362']", , , ,substation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,30600632,"['338322711', '3075557683', '3075557681', '3075557690', '3075557698', '3075557707', '3075557702', '3075557712', '3075557715', '3075557716', '3075557717', '1970794894']",3, ,50,line, , , , , , , , , , , , , , , , , , , , ,busbar, , , , , ,380000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
