,ID,Nodes,ref,power,wires,cables,voltage,circuits,operator,frequency,abandoned:power,line,note,name,layer,location,source,abandoned,disused,created_by,building,substation,source:name,addr:city,short_name,addr:street,addr:suburb,addr:country,addr:postcode,addr:housenumber,generator:source,access,barrier,old_name,contact:phone,ele,start_date,description,generator:method,generator:output,generator:output:cold,generator:output:heat,generator:output:steam,generator:output:electricity,roof:shape,wikidata,gas_insulated,addr:inclusion,building:levels,bridge,height,addr:housename,disused:power,service,gez,fixme,ref:Vattenfall,razed:substation,vehicle,voltage:primary,voltage:secondary,area,railway:ref,roof:colour,official_name,building:material,building:design:note,landuse,plant:method,plant:source,plant:output:hot_water,plant:output:electricity,foot,bicycle,vattenfall_ref,roof:levels,generator:output:hot_water,roof:material,building:colour,generator:type,ref:lda,heritage,lda:criteria,heritage:operator,man_made,street_cabinet,planned,plant:output:heat,seamark:cable_submarine:category,seamark:type,seamark:pipeline_submarine:category,seamark:pipeline_submarine:name,facility,building:part,wikipedia,source:geometry,generator:place,building:name,check_date,rev,demolished:power,demolished:building,demolished:operator,transformer,disused:rating,disused:voltage,disused:substation,disused:building,support,abandoned:building,abandoned:substation,colour,mapillary
110,46614490,"['595708743', '1510435603', '1510435607', '1510435574', '2690299129']", ,cable, , ,110000, ,Vattenfall Europe AG,50, , ,Verlauf angedeutet, ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
111,46614931,"['2690299131', '6442039403', '6442039402', '6442039401', '6442039400', '6442039399', '6442039398', '6442039397', '6442039396', '6442039395', '6442037383', '6442037382', '6442037381', '6442037380', '6442037379', '6442037378', '6442037377', '6442037376', '6442037375', '6442037374', '6442037373', '6442037372', '6442037371', '6442037370', '6442037369', '6442037368', '6442037367', '6442037366', '6442037365', '6442037364', '6442039394', '6442039393', '6442039392', '6442039391', '6442039390']", ,cable, , ,110000, ,Stromnetz Berlin,50, , , , ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
112,46615186,"['4063691771', '6463587634', '6463587633', '6463587632', '6463587631', '6463587630', '6463587629', '6463587628', '6463587627', '6463587626', '6463590525', '6463590524', '6463590523', '6463590522', '6463590521', '6463590520', '6463590519', '6463590518', '6463590517', '6463590516', '6463590515', '6463590514', '6463590513', '6463590512', '6463590511', '6463590510', '6463590509']", ,cable, , ,110000, ,Stromnetz Berlin,50, , , , ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
113,46615258,"['4063691771', '595713543']", ,cable, ,3,110000, ,Stromnetz Berlin,50, ,busbar, ,Reinickendorf,-5,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
114,46616430,"['595725751', '2875474202', '3849125745']", ,cable, , ,110000, ,Vattenfall Europe AG,50, , , , ,-5,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
115,46830004,"['6435675372', '4574905474', '4574905475', '4574905476', '1244997925', '4574905477', '4574905482', '4574905478', '4574905479', '4574905480', '4574905481', '4574905483']", ,cable, , ,110000, ,Stromnetz Berlin,50, , , , ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
116,46830007,"['4061908589', '4574905485', '4574905484', '4574905483']", ,cable, , ,110000, ,Stromnetz Berlin GmbH,50, , , , ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
117,46830467,"['2690299084', '2294127284', '2294127282', '2294127275', '2294127271', '2294127274', '2294127283', '2294127273', '2294127286', '3174349976', '2294127281', '2294127279', '2294127272', '6784591710', '2294127280', '2294127276', '2294127287', '2527214243', '2294127293', '598164244']", ,cable, , ,110000, ,Stromnetz Berlin,50, , , , ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
118,46830468,"['595631782', '604559860', '1420463300', '604559872', '6429880603', '604559880', '604559889', '604559898', '604559906', '604559921', '604559930', '604559941', '604559952', '2375950872', '604559962']", ,cable, , ,110000, ,Stromnetz Berlin,50, , , , ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
119,46830637,"['495164779', '2296453557', '2296453564', '2296453560', '2296453555', '2296453566', '2296453558', '2296453556', '506367901']", ,cable, , ,110000, ,Stromnetz Berlin,50, , , , ,-5,underground,Wikipedia, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
120,46881719,"['2690299114', '3213981369', '3213981414', '3213981060', '3213981380', '3213981409', '3213981404', '3213981378', '3213981382', '3213981427', '3213981377', '3213981421', '3213981385', '3213981379', '3213981399', '3213981370', '3213981418', '598562988']", ,cable, , ,110000, ,Stromnetz Berlin,50, , , , ,-5,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
121,46991624,"['599597211', '599597212', '599597213', '599597214', '599597211']",N844,substation, , , , ,Vattenfall Europe AG, , , , , , , ,survey, , , ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
122,47020569,"['599854782', '599854783', '599854784', '599854785', '599854786', '599854787', '599854782']", ,substation, , ,110000, ,Vattenfall Europe AG,50, , , ,Hakenfelde, , , , , , , ,transmission, , ,UW HA, , , , , , ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
123,47489608,"['603981058', '603981059', '604500233', '5338208051', '5338208064', '604500243', '5338208052', '603981060', '603981061', '632850778', '603981058']", ,substation, , ,110000, ,Stromnetz Berlin,50, , , ,Umspannwerk Herzbergstraße,-1,indoor, , , , , ,distribution, ,Berlin, ,Herzbergstraße,Lichtenberg,DE,10365,29, ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
124,47492700,"['604600016', '2296453567', '2296453562', '495164779']", ,cable, , ,110000, ,Stromnetz Berlin,50, , , , ,-5,underground, , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
125,47492701,"['604600046', '604600055', '604600062', '604600073', '604600046']", ,substation, , ,110000, ,Vattenfall Europe AG, , , , ,Umspannwerk Hermsdorf, , , , , , , , , ,Berlin,UW HD,Friedrichsthaler Weg,Hermsdorf,DE,13467,33, ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
126,47805289,"['607987581', '607987582', '607987583', '5760069291', '5760069288', '5760069289', '5760069290', '607987584', '607987581']", ,substation, , , , ,Stromnetz Berlin,50, , , ,Umspannwerk Uhlandstraße, , , , , , ,electricity,distribution, ,Berlin,UW UL,Uhlandstraße,Charlottenburg,DE,10623,18, ,no, , , , , , , , , , , , , , , , , , , , , , , , , , , ,110000,10000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
127,47805297,"['4568885627', '4568885626', '4568885642', '4568885641', '4568885640', '4568885639', '607987715']", ,cable, , ,110000, ,Stromnetz Berlin, , , , , ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
128,48080530,"['611182211', '611182201', '611182197', '611182208', '611182211']", ,substation, , , , , , , , , , , , ,survey, , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
129,48215742,"['612810537', '612810538', '612810539', '612810540', '612810537']", ,substation, , ,110000, ,Vattenfall Europe AG,50, , , ,Umspannwerk Heiligensee,-1, , , , , , ,transmission, ,Berlin,UW HL,Am Südfeld,Heiligensee,DE,13503,12, ,private,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
130,48216758,"['612834191', '4551270376', '612834196', '612834198', '5263829993', '612834201', '612834191']", ,substation, , ,110000, ,Vattenfall Europe AG,50, , , ,Umspannwerk Mariendorf, , , , , , , ,distribution, ,Berlin, ,Ringstraße,Mariendorf,DE,12105,16-17, ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
131,48216856,"['612843109', '612843110', '612843111', '612843113', '612843114', '612843118', '612843119', '612843121', '612843109']", ,substation, , ,110000, ,Stromnetz Berlin,50, , , ,Umspannwerk Pankow, ,indoor,Yahoo, , , ,electricity,distribution, ,Berlin, ,Berliner Straße,Pankow,DE,13189,21, ,no, , , , , , , , , , , , , , , , , , , ,Umspannwerk Pankow, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
132,48217501,"['612868669', '612868670', '1168994562', '1168994558', '612868671', '612868672', '612868673', '612868669']",RA,substation, , ,110000, ,Vattenfall Europe AG,50, , , ,Umspannwerk Radeland,-1, , , , , , ,transmission, , ,UW RA, , , , , , ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
133,48217648,"['612868663', '1510342785', '1510342802', '1510342743', '1510342799', '1510342835', '1510342774', '612868665']", ,cable, , ,110000, ,Stromnetz Berlin GmbH,50, , ,Verlauf angedeutet, ,-5,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,no, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
134,48217933,"['612875399', '365243859', '4408842103', '4408842106', '4408842105', '4408842104', '4408842102', '4408842101', '365243860', '365243861', '612878007', '365243868', '612875399']", ,substation, , ,110000, ,Vattenfall Berlin,50, , , ,Umspannwerk Rudolfplatz, , ,Yahoo, , , ,yes, , ,Berlin, ,Am Rudolfplatz,Friedrichshain,DE,10245,3-4, , , , , , , , , , , , , , , ,Q55519436, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
135,49139194,"['623255959', '623255961', '623255963', '623255965', '623255967', '623255969', '623255959']", ,substation, , ,15000, ,DB Energie GmbH,16.7, , , ,Schaltposten Nordkreuz, ,indoor, , , , ,prefabricated,traction, , , , , , , , , , , , , , , , , , , , , , ,flat, , , ,1, , , , , , , , , , , , , ,IBNKR,grey,Schaltposten Berlin Nordkreuz,concrete,Normschaltanlage (ende 70er bis anfang 00er)., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
136,50074149,"['3219543076', '635898181', '635898184', '635898188', '635898192', '635898196', '635898200', '1358383733', '1358382374', '635898203', '1358382379', '1358383734', '635898204', '635898205', '667498268', '635898208', '667498326', '4616420357', '635898212', '3219536259', '3219543064']", ,cable, , ,15000, ,DB Energie GmbH,16.7, , , , ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
137,50074154,"['635898263', '635898267', '635898271', '635898273', '635898274']", ,minor_line,single,8,15000, ,DB Energie GmbH,16.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
138,51804909,"['660936154', '4225943487', '660936198', '660936196', '660936174', '647690992', '660936172', '660936153', '647690983', '660936143', '647690998', '660936142', '660936149', '660936204', '660936211', '1152495201', '6971066918', '6971066917', '348321343', '348321351', '4225752742', '672865979', '660936141', '660936136', '660936135', '660936133', '660936132', '660936154']", ,plant, , , , ,Vattenfall Europe AG, , , , ,Heizkraftwerk Scharnhorststraße, , , , , , , , , , , , , , , , , , , ,Fernheizwerk der Charité, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,industrial,combustion,gas,160 MW,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
139,51997456,"['662984151', '662984152', '662984153', '662984154', '662984155', '662984156', '662985700', '662984157', '662984158', '662984151']", ,substation, , , , , , , , , , , , , , ,yes, ,yes,distribution, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
140,53216144,"['673548351', '673548354', '673548350', '673548353', '673548351']", ,substation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
141,53416356,"['675316383', '675316442', '675316505', '675316416', '675316383']", , , , , , , , , , , , , , ,Geoportal Berlin / ALKIS, , , ,power, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
142,53493919,"['675991518', '675991521', '675991509', '675991497', '675991518']", ,substation, , , , , , , , , , , , ,Geoportal Berlin / ALKIS, , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
143,53617348,"['677209798', '677209794', '677209801', '677209804', '677209798']", ,substation, , , , , , , , ,Hochspannung, , , , , , , , ,transition, , , , , , , , , , ,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,yes,no, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
144,55085520,"['692987846', '692987850', '692987854', '692987852', '692987846']", ,substation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
145,58528311,"['725341199', '725341190', '725341195', '725341200', '725341199']", ,substation, , ,30000;750, ,DB Energie GmbH,50;0, , , ,Gleichrichterunterwerk Wannsee, , ,Geoportal Berlin / Hauskoordinaten, , , ,electricity,traction, ,Berlin, ,Stahnsdorfer Damm,Wannsee,DE,14109,8, , , , , , , , , , , , , , ,flat, , , , , , , , , , , , , , , , , , ,black, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
146,59302640,"['735390192', '735390211', '735390215', '735390241', '735390246', '735390192']", ,substation, , , , , , , , , , , , ,survey, , , , ,transition, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
147,59302641,"['735390169', '735390271', '735390275', '735390280', '735390284', '735390169']", ,substation, , , , , , , , , , , , ,survey, , , , ,transition, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
148,59461221,"['737285636', '737285664', '737285693', '737285705', '737285636']", ,substation, , , , , , , , , , , , ,survey, , , , ,transition, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
149,59461222,"['737285768', '737285788', '737285798', '737285806', '737285768']", ,substation, , , , , , , , , , , , ,survey, , , , ,transition, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
150,61389758,"['766571589', '766571590', '766571591', '766571592', '766571593', '766571594', '766571589']", ,substation, , ,110000, ,Vattenfall Europe AG,50, , , ,Umspannwerk Uklei,-1, , , , , , , , ,Berlin,UW UK,Am Juliusturm,Haselhorst,DE, ,2, ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
151,62016425,"['773130370', '773130383', '773130391', '773130353', '773130370']", ,substation, , ,6000, , ,50, , , , , ,indoor, , , , ,service,minor_distribution, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
152,71502488,"['850567439', '2851028087', '2055967040', '850567443', '2091508013', '2091508011', '850567447', '850567449', '850567452', '850567453', '850567439']", ,switchgear, , ,380000;110000, ,50Hertz Transmission GmbH,50, , , , , ,indoor, , , , ,industrial, , ,Berlin, ,Bissingzeile,Tiergarten,DE,10785,8, , , , , , , , , , , , , , ,flat, ,yes, ,1, , ,MI9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
153,78089519,"['917620615', '917620618', '917620621', '917620624', '917620615']", ,transformer, , , , , , , , , , , , ,Bing, , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
154,79077383,"['924116426', '2963314342', '2963315247', '924116428', '924116430', '924116432', '924116434', '2963314146', '2963314255', '2963315852', '2963317247', '2963315151', '924116426']", ,substation, , ,0, , ,0, , , ,ehemaliges Umspannwerk Idastraße, , , , ,yes, , , , ,Berlin, ,Idastraße,Niederschönhausen,DE,13156,17-19, ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
155,79738491,"['930616541', '930616544', '3089332871', '3089332869', '3089332868', '3089332870', '930616576', '930616527', '930616541']", ,generator, , , , , , , , , , , , , , , , ,yes, , , , , , , , , ,biomass, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
156,80591731,"['940158293', '940158296', '940158298', '940158302', '940158293']",403,substation, , , , , , , , , , , , , , , , ,yes,minor_distribution, ,Berlin, , ,Weißensee,DE,13088, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10000,750, , , , , , , , , , , , , ,Ü20532, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
157,81611249,"['611604494', '951271335', '951271293', '611603881', '951271309', '611604494']", ,transformer, , , , ,Berliner Verkehrsbetriebe, , , , ,U-Bahn Gleichrichterwerk Mauerstraße, , ,survey, , , , , , ,Berlin, ,Mauerstraße,Mitte,DE,10117,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10000,750, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
158,82889479,"['964735649', '964735650', '964735651', '964735653', '964735649']", ,transformer, , , , , ,50, , , , , , ,Yahoo, , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ref, , , ,10000,400, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
159,83173908,"['343822764', '967772321', '967776861', '3279153373']", ,cable, , ,30000, ,DB Energie GmbH,50, , , , ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
160,86454024,"['297820690', '297820654', '1004510823', '297820689', '297820690']", ,substation, , , , ,Berliner Verkehrsbetriebe, , , , ,Gleichrichterwerk 512 Eichenhof, , , , , , , , , ,Berlin, ,Hultschiner Damm,Mahlsdorf,DE,12623,273, ,private,fence, , , , , , , , , , , , , , , , , , , , , , , , , , ,10000,750, , , , , , , , , , , , , ,Ü23734, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
161,86724787,"['3074616471', '3074638755', '3074638757', '3074638744', '3074615765', '3074643902', '3074643910', '3074544653', '3074544652', '3074643471', '3074635181', '3074618942', '3074616471']", ,substation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
162,97020586,"['1515945069', '1124018196', '1124018241', '1124018394', '1124018295', '1124018179']", ,line, ,4, , , , , , , ,Versuchsleitung, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
163,108219125,"['1241967997', '1241968054', '1241968033', '1241968001', '1241967997']", ,substation, , , , , , , , , , , , , , , , ,service, , , , , , , , , , , , , , , , , , , , , , , ,flat, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
164,112789705,"['1281289213', '4317881481', '4317881482', '4316151696', '4316151700', '4316151702', '4316151703', '4546229307', '1410036233', '4546229308', '3901927374', '2247761446', '2247761448', '2247761447', '2246637328']",706;707,cable, ,6,110000, ,Stromnetz Berlin GmbH, , , , , ,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
165,114284220,"['1504042032', '1504042029', '1294930678', '1504042026', '1504042013', '1294930682', '1294930686', '1294930669', '1294930673', '1504042032']", ,substation, , , , , , , , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
166,118032545,"['1328433745', '1328433744', '1328433729', '1328433727', '1328433743', '1328433749', '1328433738', '1328433748', '1328433745']", ,substation, , ,110000, ,Vattenfall Europe AG,50, , , ,Umspannwerk Tiefwerder, , , , , , ,yes, , ,Berlin,UW TW,Heidereuterstraße,Spandau,DE,13597,34-36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
167,118719346,"['1334618896', '1334618881', '1334618893', '1334618889', '1334618896']",52473,substation, , ,10000;400, ,Stromnetz Berlin GmbH, , , , , , , , , , , ,service,minor_distribution, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
168,121950301,"['1363846280', '1363846875', '1363846459', '1363845548', '3379570834', '3379570832', '1363846826', '1363845911', '1363846280']", ,generator, , , , ,Berliner Energieagentur (BEA), , , , ,BHKW Johanna Tesch Straße, , , , , , ,service, , , , , , , , , ,gas, , , , , , , ,combustion, , , , ,48 kW, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,97 kW, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
169,122684052,"['2896443081', '2896443061', '2896443352', '2896443087', '2896443081']", ,substation, , , , , , , , , , , , ,Geoportal Berlin / Hausumringe, , , ,yes,minor_distribution, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
170,123127180,"['1374073654', '1374073651', '1374073650', '1374073652', '1374073654']", ,substation, , , , ,Berliner Wasserbetriebe, , , , , , , , , , , ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
171,124197775,"['1382999401', '1382999399', '1382999391', '1382999393', '1382999401']",52614,substation, , ,10000;400, ,Stromnetz Berlin GmbH, , , , , , , , , , , ,service,minor_distribution, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
172,125787592,"['1396311503', '1396311499', '1396311496', '1396311501', '1396311503']", ,substation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
173,126794931,"['1404605984', '1404605983', '1404605985', '1404605986', '1404605984']",52610,substation, , ,10000;400, ,Stromnetz Berlin GmbH, , , , , , , , , , , ,service,minor_distribution, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
174,127728750,"['1413099801', '1413099817', '1413099816', '1413099812', '1413099801']", ,substation, , , , , , , , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
175,129761881,"['1969388194', '365180119', '1430945034', '365180122', '1969388201', '1969388200', '1969388198', '1969388199', '365180123', '1969388197', '1969388196', '1969388195', '1969388192', '1969388193', '1969388191', '1969388194']", ,substation, , ,110000, ,Vattenfall Europe AG,50, , , ,Umspannwerk Wilmersdorf, , , , , , ,yes, , , ,HKW WM, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
