,ID,Nodes,ref,power,wires,cables,voltage,circuits,operator,frequency,abandoned:power,line,note,name,layer,location,source,abandoned,disused,created_by,building,substation,source:name,addr:city,short_name,addr:street,addr:suburb,addr:country,addr:postcode,addr:housenumber,generator:source,access,barrier,old_name,contact:phone,ele,start_date,description,generator:method,generator:output,generator:output:cold,generator:output:heat,generator:output:steam,generator:output:electricity,roof:shape,wikidata,gas_insulated,addr:inclusion,building:levels,bridge,height,addr:housename,disused:power,service,gez,fixme,ref:Vattenfall,razed:substation,vehicle,voltage:primary,voltage:secondary,area,railway:ref,roof:colour,official_name,building:material,building:design:note,landuse,plant:method,plant:source,plant:output:hot_water,plant:output:electricity,foot,bicycle,vattenfall_ref,roof:levels,generator:output:hot_water,roof:material,building:colour,generator:type,ref:lda,heritage,lda:criteria,heritage:operator,man_made,street_cabinet,planned,plant:output:heat,seamark:cable_submarine:category,seamark:type,seamark:pipeline_submarine:category,seamark:pipeline_submarine:name,facility,building:part,wikipedia,source:geometry,generator:place,building:name,check_date,rev,demolished:power,demolished:building,demolished:operator,transformer,disused:rating,disused:voltage,disused:substation,disused:building,support,abandoned:building,abandoned:substation,colour,mapillary
12,22981047,"['59964569', '3849053677', '59964570']",498,line,triple,3,380000, ,50Hertz Transmission GmbH,50, , , ,498, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,23392290,"['59956076', '59956198', '59956199', '59956283']", ,abandoned,single,6,110000, ,Stromnetz Berlin,50, , ,"obenere Ebene, 835;836", , , ,survey,line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,23447400,"['59958284', '2300652573', '2300652575', '59958283']", ,line,single,3,110000, ,E.DIS Netz GmbH,50, ,bay, , , , ,Bing, , , , , , , , , , , , , , , , ,SfN-Thy4;Thy-SfN2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,23598077,"['81406332', '81406331', '255558848', '7616622485', '81407732', '81407733', '81415922', '81415924', '81419277', '59960798', '59960800', '59960801', '59960802', '59960803', '59960804', '59960805', '59960806', '59960807', '59960808', '59960809', '59960810', '59960811', '59960812', '59960813', '59960814', '59960815', '59960816', '59960817', '59960818', '59960819', '59960820', '59960822', '59960823', '59960824', '59960825', '59960826', '59960827', '59960828', '59960829', '59960830', '59960831', '59960832', '59960833', '59960834', '59960835', '59960836', '59960457', '59960458', '59960459', '59960460', '59960461', '59960462', '59960463', '59960464', '59960341', '59960340', '324702735', '59958581', '59958580', '59958579', '59958524', '59958393', '59958394', '59958395', '59958388', '59958328', '59958327', '59958366', '59958365', '59958364', '330030719', '59958272', '59958271', '59958270', '59958269', '59958268', '59958267', '59958266', '3387612063']", ,line,double,6,220000,2,50Hertz Transmission GmbH,50, , , ,Ltg 291 und 302,2, ,survey, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,24217497,"['2256000754', '2256000757', '262210811', '262210812', '2256000754']", ,substation, , , , , , , , , , , ,outdoor, , , , , ,transition, ,Berlin, ,Hermann-Blankenstein-Straße, ,DE, ,45, , , , ,+49 30 2912709, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,24477871,"['266136964', '266136965', '591948596', '591948599', '266136966', '591948607', '563283831', '266136964']",RUE,substation, , ,110000, ,Stromnetz Berlin,50, , , ,Umspannwerk Rüsternweg, ,outdoor,survey, , , , ,distribution,Informationssystem Stadt und Umwelt (ISU) der Senatsverwaltung für Stadtentwicklung,Berlin,UW RUE,Hohenschönhauser Straße,Neu-Hohenschönhausen,DE,13057,7, ,private,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,24481431,"['266183978', '266183977', '266183962', '2269960657', '2269960658', '2269960655', '2269960654', '266183963', '2269947154', '2269947155', '266183956', '266183955', '266183952', '266183951', '266183978']", ,substation, , ,110000, ,Stromnetz Berlin,50, , , ,Umspannwerk Koppenplatz, , , , , , ,electricity,distribution, , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,24921532,"['6313308891', '6313308892', '270798685', '6313308890', '6313308889', '6313308888', '6313308887', '6313308891']", ,substation, , ,110000, ,Stromnetz Berlin,50, , , ,Umspannwerk Reinickendorf, , ,survey, , , ,yes,distribution, ,Berlin,UW RD,Scharnweberstraße,Reinickendorf,DE,13405,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,25406424,"['276885755', '59435430', '59435427', '59436250', '59436351']",748;749,line,single,6,110000,2,Stromnetz Berlin,50, , , ,748;749, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,26990004,"['295838897', '295838898', '295838899', '295838900', '6187362544', '295838897']", ,substation, , ,110000, ,Stromnetz Berlin GmbH,50, , , , , ,outdoor, , , , ,electricity,industrial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
