,ID,Nodes,abandoned:power,cables,frequency,line,note,operator,ref,voltage,wires,layer,power,source,name,created_by,circuits,highway,maxspeed,name:hsb,building,generator:source,abandoned:building,plant:output:electricity,plant:output:hot_water,disused,wikidata,access,barrier,old:operator,website,disused:power,abandoned,demolished:building,demolished:power,surface,tracktype,substation,building:levels,rating,generator:method,generator:output:electricity,substance,service,location,fixme,ref:Vattenfall,roof:shape,abandoned:substation,description:de,object:postcode,object:street,object:suburb,vacant,historic:power,old_name,landuse,roof:colour,plant:source,wikipedia,voltage:primary,voltage:secondary,sidewalk,height,roof:levels,check_date,type,year,ruins,description,power_supply,toilets:wheelchair,tourism,wheelchair,substation:type,man_made,street_cabinet,material,FIXME,object:village,source:image,level,operator:wikidata,seamark:cable_submarine:category,seamark:cable_submarine:name,seamark:type,information,capacity,fee,operator:wikipedia,area,seamark:pipeline_submarine:category,seamark:pipeline_submarine:name,disused:substation,building:colour,addr:postcode,addr:street,alt_name,image,building:part,colour,management_region,sanitary_dump_station,waterway,addr:housenumber,addr:village,start_date,bldam:criteria,heritage,heritage:operator,historic,ref:bldam,year_of_construction,building:height,voltage-low,alt_name2,lfd:criteria,ref:lfd,transformer,tower:type,addr:hamlet,sport,disused:rating,disused:voltage,disused:building,owner,denotation,object:hamlet,project number,artist_name,artwork_type,addr:suburb,url,building:material,roof:material,project,object:isolated_dwelling,old_ref,addr:city,inscription,old_operator,addr:country,amenity,shelter_type,structure,object:place,source2,object:town,removed:power,mapillary,tunnel,utility,bridge,design,power:disused,railway:electricity:ref,vattenfall_ref,survey:date,battery,storage:type,pump
10,23483349,"['254313681', '254313682', '6076118915', '254313683', '254313684', '254313685', '254313686', '254313687', '254313688', '254313731', '254313732', '475170602', '254313689', '254313690', '254313365', '254313366', '254313367', '254313368', '254313797', '254313349', '254313350', '254313351', '254313352', '254313353', '254313354']", , , , , , , , , , ,minor_line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,23483396,"['254313717', '254313718', '254313719', '254313720', '254313721', '254313722', '254313727', '254313728', '254313729', '254313730', '254313766', '254313767']", , , , , , , , , , ,minor_line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,24380791,"['264543153', '264543155', '264543157', '264543158', '264543153']",plant, , , , , , , , , , , , , , , , , ,ruins, ,yes,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,24779247,"['269250848', '269251813']",line,6,50, , ,Stromnetz Berlin GmbH, ,110000,single,1, ,survey,Hochspannungsleitung 110 kV (837;838), , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,24865429,"['59966317', '2479362141', '7376668314']", ,3, , , ,E.DIS Netz GmbH, ,110000,single, ,line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,25718718,"['280433234', '1024584030', '1024583954', '1024584103', '1024584094', '1024583963', '1024584089', '280433235', '1024583965', '1024584016', '1024583991', '280433236', '1016135447', '1016135853', '1016135407', '1016135215', '280433237', '1016135945', '1016135865', '1016135935', '1016135860', '1016135902', '1016135609', '1016135505', '280433238', '1016135391', '280433239', '1024584075', '1024584065']", ,3,50, , , , ,20000,single, ,minor_line,Bing, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,26407626,"['474557257', '2427012536', '85975981']", ,3, , , ,EON_edis, ,110000,single,3,line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,27637573,"['2632464502', '2632464496', '302360893', '302360891']", ,3, , , ,e.dis, ,110000,single, ,line, ,Pre-Rat 10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,27734217,"['304558151', '304557997', '304558152', '304558153', '304557998', '304558154', '304558151']", , , , , , , , , , ,substation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,27862073,"['514731112', '312762895', '305910070', '312762894', '254074219', '312762893', '254074220', '254074221', '59958779', '59958778', '59958777', '59958776']",line,6,50, , ,EON_edis, ,110000,single, , ,Yahoo,Thy-SfW2; SfS-Grb5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,28147094,"['309150520', '309150522', '309150523', '309150524', '4095970281', '4095970274', '309150526', '309150528', '309150530', '309150531', '309150520']", , , , , , , , , , ,switchgear, ,Umspannwerk Wuhlheide, , , , , ,yes, , , , , ,Q52791452, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,28469339,"['312767195', '316772642', '312767196', '1404703228', '4520708810', '312767198']", , , , , , , , , , , , ,Saspower Hauptstraße, , ,service, ,Zaspicka głowna droga, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,28911290,"['309834984', '317790999']", , , , , , , , , , , , ,Saspower Waldrand, , ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,29287239,"['322067485', '4068140465', '322067488', '4068140447', '322067489', '1152546018', '7620181469', '322067490', '322067491', '322067492', '322067493', '7620181484', '322067494', '322067485']",substation, ,50;16.7, ,Stillgelegt 2004, , ,110000;15000, , , , ,Altes Umformerwerk Löwenberg, , , , , , , , , , ,yes, ,no,fence,DB Energie GmbH,https://ddr-zeitreise-loewenberg.de/umformerwerk/, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,29371669,"['323087780', '444358453', '323087781', '323085654', '323085655']", , , , , , , , , , , ,landsat, , , , , , , , , , , , , , , , , ,line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,29371730,"['323085656', '323085726', '371303621', '323085657', '323085658', '323085659', '323085660', '323085233', '323085234', '323085235', '255560426']", , , , ,power line abgebaut, , , , , ,abandoned,landsat, , , , , , , , , , , , , , , , , , ,line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,29373171,"['323097376', '323097377', '323097378', '323097379', '323097380', '323097381', '323097382', '323097383', '323097376']", , , , , , , , , , , ,Yahoo, , , , , , , , , , , , , , , , , , , ,yes,generator, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,30438036,"['335905642', '1380993245', '337237848', '1380993247', '337237850', '337237852', '1380993256', '1380993263', '31559552']", , , , , , , , , , , , ,Saspower Weg, , ,track, , , , , , , , , , , , , , , , , ,ground,grade3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
