,ID,Members,cables,frequency,from,name,operator,operator:wikidata,route,to,type,via,voltage,wires,operator:wikipedia,ref,network,fixme,colour,note,planned
96,5299662,"['28008024', '62251376', '1083441289', '844516311', '45737389', '46107365', '844516312', '844516313', '32267140', '87722999']",3,50,Hamburg Nord,Hamburg/Nord - Brokdorf - blau,TenneT TSO GmbH,Q1662830,power, ,route,Brockdorf,220000,single, , , , , , , 
97,5334826,"['28008024', '62251381', '23068296', '62251372', '35336024', '130794507', '130794504']",3,50,Hamburg Nord, , , ,power,Lübeck,route, ,220000, , ,208 II, ,Der Name bzw. die Referenz der Relation ist noch nicht korrekt, , , 
98,5374815,"['1089769599', '852542498', '164073884', '165297731', '165297730', '136034396']",3,50,Brunsbüttel (TenneT),Brunsbüttel (TenneT) - Büttel Blau,TenneT, ,power,Büttel,route, ,380000, , ,309 II,UCTE,check ref and name, , , 
99,5451101,"['89112105', '89430577', '366574245', '1047168488']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,60000,single, , , , , , , 
100,5451102,"['89430569', '177840442', '89112095']",3,50, , ,Schleswig-Holstein Netz AG,Q2239261,power, ,route, ,60000,single,de:Schleswig-Holstein Netz, , , , , , 
101,5451103,"['177840448', '89430569', '177840442']",3,50, , ,Schleswig-Holstein Netz AG,Q2239261,power, ,route, ,60000,single,de:Schleswig-Holstein Netz, , , , , , 
102,5451104,"['89112105', '1047168487', '89112080', '89430577']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,60000,single, , , , , , , 
103,5485852,"['134265138', '119677395', '156048341', '134265142']",3,50, , , , ,power, ,route, ,132000, , , , , , , , 
104,5502026,"['35176751', '87952821', '177838518', '953838526', '177838525', '177838535', '907539355', '907517157', '1071556193', '907517156', '449010725']",3,50,Audorf,Audorf - Handewitt (west),TenneT TSO GmbH,Q1662830,power,Jardelund,route,Flensburg,380000,double,de:Tennet TSO, , , , , , 
105,5543983,"['372776006', '32997200', '372776004', '25673030', '372775998']",3,50, ,141 rot, , ,power, ,route, ,110000,single, ,141, , ,red, , 
106,5543984,"['372776006', '32997200', '372776005', '23029937', '25673030']",3,50, ,141 gelb, , ,power, ,route, ,110000,single, ,141, , ,yellow, , 
107,5544002,"['164998853', '326615928', '164998850', '29342292', '62250800', '372776751', '48990738', '62250803', '48990741', '338361028', '952690090']",3,50, ,118 blau, , ,power, ,route, ,110000,single, ,118, , ,blue, , 
108,5544003,"['952961046', '133737437', '48990717', '536200628', '600865313', '33273033', '536200638', '556508312', '35815141', '62250800', '60675897', '133796081', '60675896']", ,50, ,118 grün,Schleswig-Holstein Netz, ,power, ,route, ,110000, , ,118, , ,green, , 
109,5544004,"['29087070', '372776748', '60582959', '60675897', '372776751', '60675896', '133796080']",3,50, ,118 gelb, , ,power, ,route, ,110000,single, ,118, , ,yellow, , 
110,5544005,"['25306807', '32997200', '372775999', '48990738', '133684212', '338361026', '952690090']",3,50, ,143 gelb, , ,power, ,route, ,110000,single, ,143, , ,yellow, , 
111,5544006,"['952690090', '338361031', '133684217', '48990738', '62250803', '60582959', '372776746', '29087070']",3,50, ,118 rot, , ,power, ,route, ,110000,single, ,118, , ,red, , 
112,5544007,"['60585697', '372776103', '60585698', '372776102', '350325925', '25673030', '372775992', '32268714', '394110161', '29340834']",3,50, ,130 rot, , ,power, ,route, ,110000,single, ,130, , ,red, , 
113,5544008,"['394110164', '350325928', '29340834', '350325925', '299837290', '60585697', '60585698', '372776102', '372775997', '25673030']",3,50, ,130 gelb, , ,power, ,route, ,110000,single, ,130, , ,yellow, , 
114,5953309,"['952961046', '696397947', '746475394', '717559108', '746475397', '746475396', '746475395', '746241340', '579755990', '207779066']",3,50,Hamburg Nord, ,Schleswig-Holstein Netz, ,power,Borstel,route, ,30000, , , , , , , , 
115,5953310,"['952961046', '696397947', '746475394', '717559108', '746475397', '746475396', '746475395', '746241340', '207309925', '207779066']",3,50,Hamburg Nord, ,Schleswig-Holstein Netz AG, ,power,Borstel,route, ,30000, , , , , , , , 
116,6001472,"['177728066', '177728067', '228434928', '177728056', '177728051']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
117,6003334,"['228434926', '96630858', '96630857', '177367049']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
118,6003411,"['399650828', '150356947', '177367046', '228434922', '228434923', '96630858', '96630857']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
119,6003413,"['399650828', '150356947', '177367046', '177367050', '96630857']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
120,6003416,"['228434925', '96630857', '164202344', '164202342']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
121,6003417,"['96630847', '96621388', '96632017', '210295759', '147017792', '228434930', '399650827', '237516630', '150356947']",3,50, , , , ,power, ,route, ,150000,single, , , , , , , 
122,6005446,"['303302353', '87962811', '116545079', '237886638', '116545069']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
123,6005447,"['399865287', '177843327', '116545052', '237886640', '116545079', '87962811']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
124,6005448,"['237886639', '116545069', '116545079', '177843325', '177843322', '177843319', '150356947']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
125,6005449,"['150356947', '255614237', '177843322', '399865288', '116545052', '237886641', '116545079', '177843327', '399865286', '399865289', '87962811']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
126,6005482,"['177844119', '89095924', '177844123', '54905454', '72928787', '26724365', '72928830']",3,50, , , , ,power, ,route, ,110000,single, ,127, , ,red, , 
127,6005483,"['177844119', '177844120', '89095924', '54905454', '72928808', '72928787', '26724365']",3,50, , , , ,power, ,route, ,110000,single, ,127, , ,yellow, , 
128,6005484,"['187263425', '399871687', '26724365', '33858498', '33910224', '188000041']",3,50, , , , ,power, ,route, ,110000,single, ,144, , , , , 
129,6005485,"['187263425', '68111320', '68111323', '68111319', '188000044', '33910224']",3,50, , , , ,power, ,route, ,110000,single, ,144, , , , , 
130,6005486,"['54856825', '237468783', '87962811', '89095924', '177844115']",3,50, , , , ,power, ,route, ,110000,single, ,127, , ,yellow, , 
131,6005487,"['54856825', '87962811', '237468459', '89095924', '177844114']",3,50, , , , ,power, ,route, ,110000,single, ,127, , ,red, , 
132,6005488,"['72928854', '399871687', '26724365', '68111320', '68111308', '68111319']",3,50, , , , ,power, ,route, ,110000,single, ,144, , , , , 
133,6005507,"['242049216', '188000052', '33910224', '399871690', '399871689', '399871688', '44020183', '44867751', '27012351', '452500192', '60709965', '27124619', '33241180', '28963626', '688049237', '69330350', '242288060', '69330337']",3,50, , ,Schleswig-Holstein Netz, ,power, ,route, ,110000,single, ,150, , ,green, , 
134,6006030,"['399934679', '34964715', '27049742', '28015900', '437164461', '218941021', '399934680', '35702899', '66208038', '33755994', '39819160']",3,50, , ,E.ON Netz,Q15806976,power, ,route, ,110000,single,de:E.ON Netz,146, , ,green, , 
135,6006055,"['33653655', '33653691', '437164448', '399934678', '399934680', '35702899']",3,50, , , , ,power, ,route, ,110000,single, ,110, , , , , 
136,6006225,"['399877896', '66758413', '169175039', '33653655', '44867751', '452500194', '60709964', '27124619']",3,50, , , , ,power, ,route, ,110000,single, ,104, , ,yellow, , 
137,6006226,"['33653655', '169175038', '399877896', '169204270', '28865652', '36834679']",3,50, , , , ,power, ,route, ,110000,single, ,104, , , , , 
138,6006227,"['37135795', '66758413', '60709966', '452500191', '44867751', '27124619', '30901414', '638787147', '399943266', '59145566', '30900237', '399947923', '64387633']",3,50, , , , ,power, ,route, ,110000,single, ,104, , ,blue, , 
139,6006228,"['399943264', '638787148', '59145566', '30901414', '28865652', '37135795', '399943263', '36834679', '30900237', '399947923', '64387633']",3,50, , , , ,power, ,route, ,110000,single, ,104, , ,red, , 
140,6020344,"['157579482', '97778964', '97778943']",3,50, , , , ,power, ,route, ,60000,single, ,157, , , , , 
141,6020345,"['79277567', '157773154', '690416716', '157773156']",3,50, , ,Schleswig-Holstein Netz AG,Q2239261,power, ,route, ,60000,single,de:Schleswig-Holstein Netz, , , , , , 
142,6020346,"['157773157', '157773156', '97778964']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
143,6020347,"['97778943', '33910224']",3,50, , , , ,power, ,route, ,60000,single, , , , , , , 
144,6020411,"['401195004', '177838532', '177838539', '87952821', '177838534', '177838522', '87962820']",3,50, , , , ,power, ,route, ,110000,double, , , , , , , 
