,ID,Location,power,ref,source,material,structure,note,line_attachment,design,operator,abandoned:power,barrier,emergency,ref:2,source:ref,fixme,endpoint:busbar,switch,location:transition,tower:type,frequency,location,phases,voltage:primary,voltage:secondary,name,seamark:buoy_special_purpose:colour,seamark:buoy_special_purpose:shape,seamark:name,seamark:type,devices,voltage-high,voltage-low,alt_name,direction,traffic_sign,voltage,removed:power,transformer,communication:mobile_phone,access,razed:power,demolished:power,description,seamark:notice:category,seamark:notice:function,waterway:sign,circuit:endpoint:building,operator:wikidata,operator:wikipedia,endpoint:overhead_line,endpoint:underground_cable,height,disused:power,line_management,no:power,abandoned,removed:line_attachment,removed:location:transition,removed:material,railway,railway:signal:direction,railway:signal:minor,railway:signal:minor:form,railway:signal:minor:height,railway:signal:position,demolished:transformer,compensator,highway,bus,public_transport,man_made,removed:transformer,pole,building,substation,construction:power,bicycle,foot,pole:type,rating,street_cabinet,demolished:ref,line,utility,seamark:landmark:category,seamark:source,door,entrance
25,200964985,9.829120/53.587644,tower,1066, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,200964986,9.833258/53.587738,tower,1067, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,200964987,9.836801/53.587832,tower,1068, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,200964988,9.840266/53.587911,tower,1069, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,200964989,9.844322/53.587994,tower,1070, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,200964990,9.848368/53.588093,tower,1071, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,200964991,9.851637/53.588167,tower,1072, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,200981250,9.860325/53.599347,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,200981252,9.860126/53.601747,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34,200981253,9.859933/53.603938,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
